symbol,composite_score,quality_score,growth_score,value_score,momentum_score,positioning_score,stability_score,score_date
CGAU,53.55951159121489,52.01990410439152,50.639339108335754,50.77930420999619,62.11890420971267,53.5342428112384,52.26537510361484,2026-02-08
BOKF,53.531852268366784,51.42964805503111,59.838741651956184,49.337640599598345,51.979331368166505,54.682157273933086,53.92359466151547,2026-02-08
NEM,53.506134157861986,53.214817262431836,53.69779594019425,50.696258969750744,59.41794826129188,50.65787112271016,53.35211339079306,2026-02-08
SCZM,53.47223985178917,53.03481252348596,52.875449116747205,50.13877120159268,78.81238963656271,39.31248201322891,46.65953461911755,2026-02-08
NGD,53.37470440568984,53.014821590161034,52.508409417846934,50.21473682205653,63.06056062383605,49.33075899464534,52.118938985593154,2026-02-08
OPTX,53.36552354494106,48.176777925743295,49.75956677299708,49.8013231001419,70.9595923726449,53.43401077983208,48.06187031828714,2026-02-08
NEXA,53.36503626783508,49.58217264507058,51.11286950602062,49.97505585280946,64.80839924952942,53.82728484372077,50.88443550985965,2026-02-08
SCCO,53.305449524034316,53.04539722998815,50.698968777423744,49.8948069204258,57.88895403543183,55.25440120861204,53.05016897232432,2026-02-08
SKYT,53.26509482187463,51.625088458555155,52.60400759739318,51.10329155173085,64.81587191505486,50.475705000490045,48.96660440802368,2026-02-08
SLGL,53.24185393211141,46.94991141516739,49.2761633893336,50.03784844814733,70.29015929017315,55.23992234641466,47.65711870343235,2026-02-08
LRCX,53.23892395843037,53.13582810175721,51.90571975259852,50.41801938379954,60.235074298899896,51.69955027883639,52.03935193469066,2026-02-08
AU,53.23118542304923,53.1661577710293,53.380478701293896,50.17783261196737,61.28948499732021,50.1825116290034,51.19064682768123,2026-02-08
TE,53.22961063588411,48.00066951074425,48.45105424629356,50.269370167084425,75.22254957180046,48.64204606575584,48.791974253626094,2026-02-08
TERN,53.18716323419891,48.41340244131423,49.132742506343725,50.15982643286592,71.61652693752556,50.95255730039242,48.84792378675164,2026-02-08
KLAC,53.15295399126425,53.95306110602348,52.83620666819119,50.3932477604007,56.33660982810619,52.45573604826568,52.942862536598234,2026-02-08
CTMX,53.151455821373794,51.29433404712215,52.57115430962243,50.18873192295503,65.36391413573321,51.648916608536396,47.84168390427353,2026-02-08
